id;source;display_name;extras_fim_vigencia;extras_fim_implantacao;extras_inicio_vigencia;extras_laboratorio;extras_apresentacao
"90609468";"tuss-20";"RIVAROXABANA";"-";"2025-10-31";"2025-08-01";"ALTHAIA S.A INDÚSTRIA FARMACÊUTICA";"10 MG COM REV CT BL AL PLAS PVC TRANS X 30"
"90609450";"tuss-20";"RIVAROXABANA";"-";"2025-10-31";"2025-08-01";"ALTHAIA S.A INDÚSTRIA FARMACÊUTICA";"10 MG COM REV CT BL AL PLAS PVC TRANS X 20"
"90609441";"tuss-20";"RIVAROXABANA";"-";"2025-10-31";"2025-08-01";"ALTHAIA S.A INDÚSTRIA FARMACÊUTICA";"10 MG COM REV CT BL AL PLAS PVC TRANS X 15"
"90609433";"tuss-20";"RIVAROXABANA";"-";"2025-10-31";"2025-08-01";"ALTHAIA S.A INDÚSTRIA FARMACÊUTICA";"10 MG COM REV CT BL AL PLAS PVC TRANS X 10"
"90609425";"tuss-20";"RIVAROXABANA";"-";"2025-10-31";"2025-08-01";"ALTHAIA S.A INDÚSTRIA FARMACÊUTICA";"10 MG COM REV CT BL AL PLAS PVC TRANS X 5"
"90609417";"tuss-20";"FURP-RIFAMPICINA";"-";"2025-10-31";"2025-08-01";"FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP";"20 MG/ML SUS OR CX 50 FR VD AMB X 50 ML + 50 COP"
"90609409";"tuss-20";"EPOCLER COMPRIMIDO";"-";"2025-10-31";"2025-08-01";"COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.";"(100+20) MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 100"
"90609395";"tuss-20";"EPOCLER COMPRIMIDO";"-";"2025-10-31";"2025-08-01";"COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.";"(100+20) MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30"
"90609387";"tuss-20";"PIRFENIDONA";"-";"2025-10-31";"2025-08-01";"SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA";"267 MG CAP DURA CT FR PLAS PEAD OPC X 270"
"90609379";"tuss-20";"NEULEPTIL";"-";"2025-10-31";"2025-08-01";"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.";"40 MG/ML SOL OR CT FR VD CGT X 20 ML"
"90609360";"tuss-20";"NEULEPTIL";"-";"2025-10-31";"2025-08-01";"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.";"10 MG/ML SOL OR PED CT FR VD CGT X 20 ML"
"90609352";"tuss-20";"NEULEPTIL";"-";"2025-10-31";"2025-08-01";"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.";"10 MG COM REV CT BL AL PLAS TRANS X 20"
"90609344";"tuss-20";"PERFENOL MULTI";"-";"2025-10-31";"2025-08-01";"UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A";"(40,0 + 1,0 + 0,4) MG/ML SOL OR CT FR VD AMB X 120 ML + COP"
"90609336";"tuss-20";"PTZOL";"-";"2025-10-31";"2025-08-01";"CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.";"40 MG PO LIOF SOL INJ IV CX 25 FA VD AMB + DIL 25 AMP VD AMB X 10 ML"
"90609328";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 3 SER PREENC PLAS TRANS X 1,5 ML + 6 AGU"
"90609310";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 2 SER PREENC PLAS TRANS X 1,5 ML + 4 AGU"
"90609301";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT SER PREENC PLAS TRANS X 1,5 ML + 2 AGU"
"90609298";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 3 SER PREENC PLAS TRANS X 1 ML + 6 AGU"
"90609280";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 2 SER PREENC PLAS TRANS X 1 ML + 4 AGU"
"90609271";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT SER PREENC PLAS TRANS X 1 ML + 2 AGU"
"90609263";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 3 SER PREENC PLAS TRANS X 0,75 ML + 6 AGU"
"90609255";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 2 SER PREENC PLAS TRANS X 0,75 ML + 4 AGU"
"90609247";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT SER PREENC PLAS TRANS X 0,75 ML + 2 AGU"
"90609239";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 3 SER PREENC PLAS TRANS X 0,50 ML + 6 AGU"
"90609220";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 2 SER PREENC PLAS TRANS X 0,50 ML + 4 AGU"
"90609212";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT SER PREENC PLAS TRANS X 0,50 ML + 2 AGU"
"90609204";"tuss-20";"OXALATO DE ESCITALOPRAM";"-";"2025-10-31";"2025-08-01";"ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A";"20 MG COM REV CT BL AL PLAS TRANS X 60"
"90609190";"tuss-20";"OXALATO DE ESCITALOPRAM";"-";"2025-10-31";"2025-08-01";"EMS S/A";"20 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 60"
"90609182";"tuss-20";"SKYCLARYS";"-";"2025-10-31";"2025-08-01";"BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA";"50 MG CAP DURA CT FR PLAS PEAD OPC X 90"
"90609174";"tuss-20";"OLMESARTANA MEDOXOMILA";"-";"2025-10-31";"2025-08-01";"LABORATORIO TEUTO BRASILEIRO S/A";"40 MG COM REV CT BL AL AL X 30"
"90609166";"tuss-20";"OLMESARTANA MEDOXOMILA";"-";"2025-10-31";"2025-08-01";"LABORATORIO TEUTO BRASILEIRO S/A";"20 MG COM REV CT BL AL AL X 30"
"90609158";"tuss-20";"NIQUITIN";"-";"2025-10-31";"2025-08-01";"MAPPEL INDÚSTRIA DE EMBALAGENS S.A.";"21 MG ADES TRANSD TRANS CT ENV AL PE X 7"
"90609140";"tuss-20";"NIQUITIN";"-";"2025-10-31";"2025-08-01";"MAPPEL INDÚSTRIA DE EMBALAGENS S.A.";"14 MG ADES TRANSD TRANS CT ENV AL PE X 7"
"90609131";"tuss-20";"NIQUITIN";"-";"2025-10-31";"2025-08-01";"MAPPEL INDÚSTRIA DE EMBALAGENS S.A.";"7 MG ADES TRANSD TRANS CT ENV AL PE X 7"
"90609123";"tuss-20";"MONTELUCASTE SÓDICO";"-";"2025-10-31";"2025-08-01";"CIMED INDUSTRIA S.A";"10 MG COM REV CT BL AL AL X 30"
"90609115";"tuss-20";"METOTREXATO";"-";"2025-10-31";"2025-08-01";"BLAU FARMACEUTICA S.A.";"2,5 MG COM CT BL AL PLAS PVC AMB X 240"
"90609107";"tuss-20";"METOTREXATO";"-";"2025-10-31";"2025-08-01";"BLAU FARMACEUTICA S.A.";"2,5 MG COM CT BL AL PLAS PVC AMB X 24"
"90609093";"tuss-20";"METOTREXATO";"-";"2025-10-31";"2025-08-01";"BLAU FARMACEUTICA S.A.";"2,5 MG COM CT BL AL PLAS PVC AMB X 9"
"90609085";"tuss-20";"METOTREXATO";"-";"2025-10-31";"2025-08-01";"BLAU FARMACEUTICA S.A.";"2,5 MG COM CT BL AL PLAS PVC AMB X 12"
"90609077";"tuss-20";"METOTREXATO";"-";"2025-10-31";"2025-08-01";"BLAU FARMACEUTICA S.A.";"2,5 MG COM CT BL AL PLAS PVC AMB X 6"
"90609069";"tuss-20";"METOTREXATO";"-";"2025-10-31";"2025-08-01";"BLAU FARMACEUTICA S.A.";"2,5 MG COM CT BL AL PLAS PVC AMB X 3"
"90609050";"tuss-20";"METOTREXATO";"-";"2025-10-31";"2025-08-01";"BLAU FARMACEUTICA S.A.";"2,5 MG COM CT BL AL PLAS PVC AMB X 25 "
"90609042";"tuss-20";"GILMOV";"-";"2025-10-31";"2025-08-01";"ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A";"1 MG COM CT BL AL AL X 30"
"90609034";"tuss-20";"GILMOV";"-";"2025-10-31";"2025-08-01";"ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A";"1 MG COM CT BL AL AL X 10"
"90609026";"tuss-20";"COBI-12";"-";"2025-10-31";"2025-08-01";"APSEN FARMACEUTICA S/A";"1000 MCG COM SUBL CT BL AL PLAS PVC/PE EVOH/PCTFE OPC X 10"
"90609018";"tuss-20";"COBI-12";"-";"2025-10-31";"2025-08-01";"APSEN FARMACEUTICA S/A";"1000 MCG COM SUBL CT BL AL/AL X 10"
"90609000";"tuss-20";"COBI-12";"-";"2025-10-31";"2025-08-01";"APSEN FARMACEUTICA S/A";"1000 MCG COM SUBL CT BL AL PLAS PVC/PE EVOH/PCTFE OPC X 60"
"90608992";"tuss-20";"COBI-12";"-";"2025-10-31";"2025-08-01";"APSEN FARMACEUTICA S/A";"1000 MCG COM SUBL CT BL AL PLAS PVC/PE EVOH/PCTFE OPC X 30"
"90608984";"tuss-20";"COBI-12";"-";"2025-10-31";"2025-08-01";"APSEN FARMACEUTICA S/A";"1000 MCG COM SUBL CT BL AL PLAS PVC/PE EVOH/PCTFE OPC X 7"
"90608976";"tuss-20";"COBI-12";"-";"2025-10-31";"2025-08-01";"APSEN FARMACEUTICA S/A";"1000 MCG COM SUBL CT BL AL/AL X 60"
"90608968";"tuss-20";"COBI-12";"-";"2025-10-31";"2025-08-01";"APSEN FARMACEUTICA S/A";"1000 MCG COM SUBL CT BL AL/AL X 30"
"90608950";"tuss-20";"COBI-12";"-";"2025-10-31";"2025-08-01";"APSEN FARMACEUTICA S/A";"1000 MCG COM SUBL CT BL AL/AL X 7"
"90608941";"tuss-20";"MEC 12";"-";"2025-10-31";"2025-08-01";"EUROFARMA LABORATORIOS S.A.";"1000 MCG COM SUBL CT BL AL AL X 30"
"90608933";"tuss-20";"MEC 12";"-";"2025-10-31";"2025-08-01";"EUROFARMA LABORATORIOS S.A.";"1000 MCG COM SUBL CT BL AL AL X 10"
"90608925";"tuss-20";"DOZI";"-";"2025-10-31";"2025-08-01";"EUROFARMA LABORATORIOS S.A.";"1000 MCG COM SUBL CT BL AL AL X 30"
"90608917";"tuss-20";"DOZI";"-";"2025-10-31";"2025-08-01";"EUROFARMA LABORATORIOS S.A.";"1000 MCG COM SUBL CT BL AL AL X 10"
"90608909";"tuss-20";"MANITOL 20%";"-";"2025-10-31";"2025-08-01";"COPERMED COMERCIAL IMPORTADORA LTDA";"200 MG.ML SOL INFUS IV CX 25 FA PLAS TRANS SIST FECH X 500 ML"
"90608895";"tuss-20";"MANITOL 20%";"-";"2025-10-31";"2025-08-01";"COPERMED COMERCIAL IMPORTADORA LTDA";"200 MG.ML SOL INFUS IV CX 24 FA PLAS TRANS SIST FECH X 250 ML"
"90608887";"tuss-20";"BRITENS LC";"-";"2025-10-31";"2025-08-01";"UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A";"(2 + 5) MG/ML SOL GOT OFT CT FR GOT PLAS PEBD OPC X 10 ML"
"90608879";"tuss-20";"BRITENS LC";"-";"2025-10-31";"2025-08-01";"UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A";"(2 + 5) MG/ML SOL GOT OFT CT FR GOT PLAS PEBD OPC X 5 ML"
"90608860";"tuss-20";"DRUSOLOL LC";"-";"2025-10-31";"2025-08-01";"UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A";"(20 + 5) MG/ML SOL GOT OFT CT FR GOT PLAS PEBD OPC X 5 ML"
"90608852";"tuss-20";"NEOZINE";"-";"2025-10-31";"2025-08-01";"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.";"100 MG COM REV CT BL AL AL X 20"
"90608844";"tuss-20";"NEOZINE";"-";"2025-10-31";"2025-08-01";"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.";"25 MG COM REV CT BL AL PLAS PVDC/PE/PVC TRANS X 20"
"90608836";"tuss-20";"LENALIDOMIDA";"-";"2025-10-31";"2025-08-01";"SUN FARMACÊUTICA DO BRASIL LTDA";"25 MG CAP DURA CT BL AL PLAS PVC/PCTFE TRANS X 21"
"90608828";"tuss-20";"LENALIDOMIDA";"-";"2025-10-31";"2025-08-01";"SUN FARMACÊUTICA DO BRASIL LTDA";"25 MG CAP DURA CT BL AL PLAS PVC/PCTFE TRANS X 14"
"90608810";"tuss-20";"LENALIDOMIDA";"-";"2025-10-31";"2025-08-01";"SUN FARMACÊUTICA DO BRASIL LTDA";"15 MG CAP DURA CT BL AL PLAS PVC/PCTFE TRANS X 28"
"90608801";"tuss-20";"LENALIDOMIDA";"-";"2025-10-31";"2025-08-01";"SUN FARMACÊUTICA DO BRASIL LTDA";"15 MG CAP DURA CT BL AL PLAS PVC/PCTFE TRANS X 21"
"90608798";"tuss-20";"LENALIDOMIDA";"-";"2025-10-31";"2025-08-01";"SUN FARMACÊUTICA DO BRASIL LTDA";"10 MG CAP DURA CT BL AL PLAS PVC/PCTFE TRANS X 28"
"90608780";"tuss-20";"LENALIDOMIDA";"-";"2025-10-31";"2025-08-01";"SUN FARMACÊUTICA DO BRASIL LTDA";"10 MG CAP DURA CT BL AL PLAS PVC/PCTFE TRANS X 21"
"90608771";"tuss-20";"LENALIDOMIDA";"-";"2025-10-31";"2025-08-01";"SUN FARMACÊUTICA DO BRASIL LTDA";"5 MG CAP DURA CT BL AL PLAS PVC/PCTFE TRANS X 21"
"90608763";"tuss-20";"IVERMECTINA";"-";"2025-10-31";"2025-08-01";"LABORATORIO GLOBO SA";"6 MG COM CT BL AL AL X 4"
"90608755";"tuss-20";"IVERMECTINA";"-";"2025-10-31";"2025-08-01";"LABORATORIO GLOBO SA";"6 MG COM CT BL AL AL X 2"
"90608747";"tuss-20";"IVECTE";"-";"2025-10-31";"2025-08-01";"VITAMEDIC INDUSTRIA FARMACEUTICA LTDA";"6 MG COM CT BL AL PLAS PVC/PVDC TRANS X 4"
"90608739";"tuss-20";"UPLIZNA";"-";"2025-10-31";"2025-08-01";"AMGEN BIOTECNOLOGIA DO BRASIL LTDA.";"10 MG/ML SOL DIL INFUS CT 3 FA VD TRANS X 10ML"
"90608720";"tuss-20";"IBUPROFENO";"-";"2025-10-31";"2025-08-01";"CIMED INDUSTRIA S.A";"600 MG CAP MOLE CT BL AL PLAS PVC/PVDC TRANS X 10"
"90608712";"tuss-20";"IBUPROFENO";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"600 MG COM REV CT BL AL PLAS TRANS X 200"
"90608704";"tuss-20";"OLMESARTANA MEDOXOMILA + HIDROCLOROTIAZIDA";"-";"2025-10-31";"2025-08-01";"TORRENT DO BRASIL LTDA";"(40 + 25) MG COM REV CT BL AL AL X 30"
"90608690";"tuss-20";"OLMESARTANA MEDOXOMILA + HIDROCLOROTIAZIDA";"-";"2025-10-31";"2025-08-01";"TORRENT DO BRASIL LTDA";"(40 + 12,5) MG COM REV CT BL AL AL X 30"
"90608682";"tuss-20";"OLMESARTANA MEDOXOMILA + HIDROCLOROTIAZIDA";"-";"2025-10-31";"2025-08-01";"TORRENT DO BRASIL LTDA";"(20 + 12,5) MG COM REV CT BL AL AL X 30"
"90608674";"tuss-20";"IRBESARTANA + HIDROCLOROTIAZIDA";"-";"2025-10-31";"2025-08-01";"RANBAXY FARMACÊUTICA LTDA";"(300 +12,5) MG COM CT BL AL PLAS OPC X 30"
"90608666";"tuss-20";"IRBESARTANA + HIDROCLOROTIAZIDA";"-";"2025-10-31";"2025-08-01";"RANBAXY FARMACÊUTICA LTDA";"(150 + 12,5) MG COM CT BL AL PLAS OPC X 30"
"90608658";"tuss-20";"HEMITARTARATO DE RIVASTIGMINA";"-";"2025-10-31";"2025-08-01";"LABORVIDA LABORATÓRIOS FARMACÊUTICOS LTDA.";"6 MG CAP DURA CT BL AL PLAS OPC X 30"
"90608640";"tuss-20";"HEMITARTARATO DE RIVASTIGMINA";"-";"2025-10-31";"2025-08-01";"LABORVIDA LABORATÓRIOS FARMACÊUTICOS LTDA.";"4,5 MG CAP DURA CT BL AL PLAS OPC X 30"
"90608631";"tuss-20";"HEMITARTARATO DE RIVASTIGMINA";"-";"2025-10-31";"2025-08-01";"LABORVIDA LABORATÓRIOS FARMACÊUTICOS LTDA.";"3 MG CAP DURA CT BL AL PLAS OPC X 30"
"90608623";"tuss-20";"HEMITARTARATO DE RIVASTIGMINA";"-";"2025-10-31";"2025-08-01";"LABORVIDA LABORATÓRIOS FARMACÊUTICOS LTDA.";"1,5 MG CAP DURA CT BL AL PLAS OPC X 30"
"90608615";"tuss-20";"HEMIFUMARATO DE QUETIAPINA";"-";"2025-10-31";"2025-08-01";"EMS S/A";"300 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 30"
"90608607";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL PLAS TRANS X 800"
"90608593";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL PLAS TRANS X 500"
"90608585";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL PLAS TRANS X 300 (EMB FRAC)"
"90608577";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL PLAS TRANS X 300"
"90608569";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL PLAS TRANS X 90 (EMB FRAC)"
"90608550";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL PLAS TRANS X 90"
"90608542";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL PLAS TRANS X 60"
"90608534";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL PLAS TRANS X 30"
"90608526";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL PLAS TRANS X 20"
"90608518";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL AL X 800"
"90608500";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL AL X 500"
"90608496";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL AL X 300"
"90608488";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL AL X 300 (EMB FRAC)"
"90608470";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL AL X 90 (EMB FRAC)"
"90608461";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL AL X 90"
"90608453";"tuss-20";"FINASTERIDA";"-";"2025-10-31";"2025-08-01";"PRATI DONADUZZI & CIA LTDA";"1 MG COM REV CT BL AL AL X 20"
"90608445";"tuss-20";"CARBITAL";"-";"2025-10-31";"2025-08-01";"LABORATORIO TEUTO BRASILEIRO S/A";"100 MG COM CT BL AL PLAS TRANS X 30"
"90608437";"tuss-20";"INSERZI";"-";"2025-10-31";"2025-08-01";"ORGANON FARMACEUTICA LTDA.";"68 MG IMPLANTE CT BL X 1 APLIC"
"90608429";"tuss-20";"EZONIA";"-";"2025-10-31";"2025-08-01";"EUROFARMA LABORATORIOS S.A.";"3 MG COM REV CT BL AL AL X 60"
"90621468";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 1000) MG COM REV CT BL AL AL X 60"
"90608410";"tuss-20";"EZONIA";"-";"2025-10-31";"2025-08-01";"EUROFARMA LABORATORIOS S.A.";"3 MG COM REV CT BL AL AL X 30"
"90608402";"tuss-20";"EZONIA";"-";"2025-10-31";"2025-08-01";"EUROFARMA LABORATORIOS S.A.";"2 MG COM REV CT BL AL AL X 30"
"90621450";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 1000) MG COM REV CT BL AL AL X 56"
"90608399";"tuss-20";"ASPDIP";"-";"2025-10-31";"2025-08-01";"BAYER S.A.";"1 G COM CT BL AL PLAS PVC/PVDC TRANS X 10"
"90621441";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 1000) MG COM REV CT BL AL AL X 30"
"90608380";"tuss-20";"ASPDIP";"-";"2025-10-31";"2025-08-01";"BAYER S.A.";"500MG COM CT BL AL PLAS TRANS X 30"
"90621433";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 1000) MG COM REV CT BL AL AL X 28"
"90608372";"tuss-20";"ASPDIP";"-";"2025-10-31";"2025-08-01";"BAYER S.A.";"500MG COM CT DISP 10 BL AL PLAS TRANS X 10"
"90621425";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 1000) MG COM REV CT BL AL AL X 14"
"90608364";"tuss-20";"ASPDIP";"-";"2025-10-31";"2025-08-01";"BAYER S.A.";"500 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML"
"90621417";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 1000) MG COM REV CT BL AL AL X 10"
"90608356";"tuss-20";"MINÉRGI";"-";"2025-10-31";"2025-08-01";"SUPERA FARMA LABORATÓRIOS S.A";"0,750MG COM LIB PROL CT BL AL AL X 5"
"90621409";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 1000) MG COM REV CT BL AL AL X 7"
"90608348";"tuss-20";"MINÉRGI";"-";"2025-10-31";"2025-08-01";"SUPERA FARMA LABORATÓRIOS S.A";"0,375MG COM LIB PROL CT BL AL AL X 5"
"90621395";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 850) MG COM REV CT BL AL AL X 60"
"90608330";"tuss-20";"OJJAARA";"-";"2025-10-31";"2025-08-01";"GLAXOSMITHKLINE BRASIL LTDA";"200 MG COM REV CT FR PLAS PEAD OPC X 30"
"90621387";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 850) MG COM REV CT BL AL AL X 56"
"90608321";"tuss-20";"OJJAARA";"-";"2025-10-31";"2025-08-01";"GLAXOSMITHKLINE BRASIL LTDA";"150 MG COM REV CT FR PLAS PEAD OPC X 30"
"90621379";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 850) MG COM REV CT BL AL AL X 30"
"90608313";"tuss-20";"OJJAARA";"-";"2025-10-31";"2025-08-01";"GLAXOSMITHKLINE BRASIL LTDA";"100 MG COM REV CT FR PLAS PEAD OPC X 30"
"90608305";"tuss-20";"ARTRODAR";"-";"2025-10-31";"2025-08-01";"TRB PHARMA INDUSTRIA QUIMICA E FARMACEUTICA LTDA";"50 MG CAP DURA CT BL AL PLAS PVC TRANS X 60"
"90621360";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 850) MG COM REV CT BL AL AL X 28"
"90608291";"tuss-20";"ARTRODAR";"-";"2025-10-31";"2025-08-01";"TRB PHARMA INDUSTRIA QUIMICA E FARMACEUTICA LTDA";"50 MG CAP DURA CT BL AL PLAS PVC TRANS X 20"
"90621352";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 850) MG COM REV CT BL AL AL X 14"
"90608283";"tuss-20";"PAROX";"-";"2025-10-31";"2025-08-01";"LABORATORIO TEUTO BRASILEIRO S/A";"20 MG COM REV CT BL AL PLAS TRANS X 30"
"90621344";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 850) MG COM REV CT BL AL AL X 10"
"90608275";"tuss-20";"FLUIDSORO";"-";"2025-10-31";"2025-08-01";"VITAMEDIC INDUSTRIA FARMACEUTICA LTDA";"0,50 MG/ML SOL NASAL CT FR PLAS INC GOTEJADOR X 30 ML "
"90621336";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 850) MG COM REV CT BL AL AL X 7"
"90621328";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 500) MG COM REV CT BL AL AL X 60"
"90608267";"tuss-20";"NEOZINE";"-";"2025-10-31";"2025-08-01";"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.";"40 MG/ML SOL OR CT FR GOT VD AMB X 20 ML"
"90621310";"tuss-20";"VILDAGLIPTINA + CLORIDRATO DE METFORMINA";"-";"2026-04-30";"2026-02-01";"TORRENT DO BRASIL LTDA";"(50 + 500) MG COM REV CT BL AL AL X 56"
