id;source;display_name;extras_fim_vigencia;extras_fim_implantacao;extras_inicio_vigencia
"40501213";"tuss-22";"Pesquisa de translocação PML/RAR-a";"-";"2010-10-15";"2010-09-09"
"40501205";"tuss-22";"Estudo de alterações cromossômicas em leucemias por FISH (Fluorescence In Situ Hybridization)";"-";"2010-10-15";"2010-09-09"
"40501191";"tuss-22";"Subcultura de pele para dosagens bioquímicas e/ou moleculares (adicional)";"-";"2010-10-15";"2009-02-13"
"40501183";"tuss-22";"Líquido amniótico, vilosidades coriônicas, subcultura para dosagens bioquímicas e/ou moleculares (adicional)";"-";"2010-10-15";"2009-02-13"
"40501175";"tuss-22";"Líquido amniótico, cariótipo com bandas ";"-";"2010-10-15";"2009-02-13"
"40501167";"tuss-22";"Fish pré-natal, por sonda ";"-";"2010-10-15";"2009-02-13"
"40501159";"tuss-22";"Fish em metáfase ou núcleo interfásico, por sonda ";"-";"2010-10-15";"2009-02-13"
"40501140";"tuss-22";"Diagnóstico genético pré-implantação por fish, por sonda";"-";"2010-10-15";"2009-02-13"
"40501132";"tuss-22";"Cultura de tecido para ensaio enzimático e/ou extração de DNA";"-";"2010-10-15";"2009-02-13"
"40501124";"tuss-22";"Cultura de material de aborto e obtenção de cariótipo";"-";"2010-10-15";"2009-02-13"
"40501116";"tuss-22";"Cromatina X ou Y";"-";"2010-10-15";"2009-02-13"
"40501108";"tuss-22";"Cariótipo para pesquisa de instabilidade cromossômica ";"-";"2010-10-15";"2009-02-13"
"40501094";"tuss-22";"Cariótipo em vilosidades coriônicas (cultivo de trofoblastos) ";"-";"2010-10-15";"2009-02-13"
"40501086";"tuss-22";"Cariótipo de sangue-pesquisa de sítio frágil X";"-";"2010-10-15";"2009-02-13"
"40501078";"tuss-22";"Cariótipo de sangue-pesquisa de marcadores tumorais";"-";"2010-10-15";"2009-02-13"
"40501060";"tuss-22";"Cariótipo de sangue obtido por cordocentese pré-natal  ";"-";"2010-10-15";"2009-02-13"
"40501051";"tuss-22";"Cariótipo de sangue (técnicas com bandas) ";"-";"2010-10-15";"2009-02-13"
"40501043";"tuss-22";"Cariótipo de medula (técnicas com bandas) ";"-";"2010-10-15";"2009-02-13"
"40501035";"tuss-22";"Cariótipo com técnicas de alta resolução ";"-";"2010-10-15";"2009-02-13"
"40501027";"tuss-22";"Cariótipo com pesquisa de troca de cromátides irmãs ";"-";"2010-10-15";"2009-02-13"
"40501019";"tuss-22";"Cariótipo com bandas de pele, tumor e demais tecidos ";"-";"2010-10-15";"2009-02-13"
"40404579";"tuss-22";"Identificação de anticorpos anti-eritrocitários a frio em gel";"-";"2021-10-31";"2021-08-01"
"40404560";"tuss-22";"Pesquisa de anticorpos séricos irregulares antieritrocitários - método de eluição - gel teste";"-";"2021-10-31";"2021-08-01"
"40404552";"tuss-22";"Controle bacteriológico para concentrado de plaquetas";"-";"2021-10-31";"2021-08-01"
"40404544";"tuss-22";"Técnicas de adsorção";"-";"2014-08-31";"2012-10-10"
"40404536";"tuss-22";"Prova de compatibilidade para transfusão de plaquetas (MAIPA)";"-";"2014-08-31";"2012-10-10"
"40404528";"tuss-22";"Plaquetaférese HLA compatível";"-";"2014-08-31";"2012-10-10"
"40404510";"tuss-22";"Plaquetaférese CMV negativos";"-";"2014-08-31";"2012-10-10"
"40404501";"tuss-22";"Pesquisa e identificação de anticorpos plaquetários (MAIPA)";"-";"2014-08-31";"2012-10-10"
"40404498";"tuss-22";"Pesquisa de hemolisina";"-";"2014-08-31";"2012-10-10"
"40404480";"tuss-22";"Granulócitos CMV negativos";"-";"2014-08-31";"2012-10-10"
"40404471";"tuss-22";"Genotipagem Ss";"-";"2014-08-31";"2012-10-10"
"40404463";"tuss-22";"Genotipagem RHD, Cc, Ee, Pseudogene, Kell";"-";"2014-08-31";"2012-10-10"
"40404455";"tuss-22";"Genotipagem RHD, Cc, Ee, Pseudogene";"-";"2014-08-31";"2012-10-10"
"40404447";"tuss-22";"Genotipagem RHD, Cc, Ec, Pse, K, Kid, Df, Gata";"-";"2014-08-31";"2012-10-10"
"40404439";"tuss-22";"Genotipagem HPA por sistema";"-";"2014-08-31";"2012-10-10"
"40404420";"tuss-22";"Genotipagem completa plaquetária (HPA 1, 6 e 15)";"-";"2014-08-31";"2012-10-10"
"40404412";"tuss-22";"Fotoférese";"-";"2014-08-31";"2012-10-10"
"40404404";"tuss-22";"Fenotipagem do sistema RH-HR (D, C, E, C, E) e Kell";"-";"2014-08-31";"2012-10-10"
"40404390";"tuss-22";"Concentrado de hemácias raras congeladas";"-";"2014-08-31";"2012-10-10"
"40404382";"tuss-22";"S. Anticorpo anti-CMV (IgM), por unidade de sangue total";"-";"2014-08-31";"2012-10-10"
"40404374";"tuss-22";"S. Anticorpo anti-CMV (IgG), por unidade de sangue total";"-";"2014-08-31";"2012-10-10"
"40404366";"tuss-22";"NAT teste de ácido nucleico HIV/HCV/HBV";"-";"2014-08-31";"2012-10-10"
"40404358";"tuss-22";"Descalcificação de tecido, anatomia patológica";"-";"2014-08-31";"2012-10-10"
"40404340";"tuss-22";"Imunofluorescência direta de pele";"-";"2014-08-31";"2012-10-10"
"40404331";"tuss-22";"Genotipagem RhD parcial";"-";"2014-08-31";"2012-10-10"
"40404323";"tuss-22";"Genotipagem para zigosidade D";"-";"2014-08-31";"2012-10-10"
"40404315";"tuss-22";"Genotipagem Kidd";"-";"2014-08-31";"2012-10-10"
"40404307";"tuss-22";"Genotipagem Kell";"-";"2014-08-31";"2012-10-10"
"40404293";"tuss-22";"Genotipagem Duffy_Gata";"-";"2014-08-31";"2012-10-10"
"40404285";"tuss-22";"Viabilidade celular das células tronco periféricas por citometria de fluxo após o descongelamento";"-";"2010-10-15";"2010-09-09"
"40404277";"tuss-22";"Viabilidade celular da medula óssea por citometria de fluxo após o descongelamento";"-";"2010-10-15";"2010-09-09"
"40404269";"tuss-22";"Viabilidade celular dos linfócitos periféricos por citometria de fluxo para tratamento das recidivas pós TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404242";"tuss-22";"Quantificação de leucócitos totais da Medula Óssea no TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404234";"tuss-22";"Quantificação de leucócitos totais da coleta de células tronco periféricas para TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404226";"tuss-22";"Quantificação de CD8 da coleta de células tronco periféricas para TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404218";"tuss-22";"Quantificação de CD4 da coleta de células tronco periféricas para TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404200";"tuss-22";"Quantificação de CD3  da coleta de linfócitos para tratamento de recidivas pós TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404196";"tuss-22";"Quantificação de CD3  da coleta de células tronco periféricas para TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404188";"tuss-22";"Quantificação de CD19 da coleta de células tronco periféricas para TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404170";"tuss-22";"Quantificação de CD14 da coleta de células tronco periféricas para TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404161";"tuss-22";"PCR em tempo real para vírus respiratório sincicial";"-";"2010-10-15";"2010-09-09"
"40404153";"tuss-22";"PCR em tempo real para os vírus parainfluenza e influenza";"-";"2010-10-15";"2020-06-01"
"40404145";"tuss-22";"PCR em tempo real para diagnóstico de Herpes virus 8 - pos transplante";"-";"2010-10-15";"2010-09-09"
"40404137";"tuss-22";"PCR em tempo real para diagnóstico de Herpes virus 6 - pos transplante";"-";"2010-10-15";"2010-09-09"
"40404129";"tuss-22";"PCR em tempo real para diagnóstico de EBV - pós transplante";"-";"2010-10-15";"2010-09-09"
"40404110";"tuss-22";"PCR em tempo real para diagnóstico de adenovírus";"-";"2010-10-15";"2010-09-09"
"40404099";"tuss-22";"Controle microbiológico das células tronco periféricas no TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404080";"tuss-22";"Controle microbiológico da medula óssea no TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404072";"tuss-22";"Coleta de linfócitos de sangue periférico por aférese para tratamento de recidivas pós TCTH alogênico";"-";"2010-10-15";"2010-09-09"
"40404064";"tuss-22";"Análise quimerismo receptor - VNTC ou STR - pós transplante";"-";"2010-10-15";"2024-12-01"
"40404056";"tuss-22";"Avaliação quimerismo – VNTR ou STR - paciente - pré transplante";"-";"2010-10-15";"2024-12-01"
"40404048";"tuss-22";"Avaliação quimerismo - VNTR ou STR - doador - pré transplante";"-";"2010-10-15";"2024-12-01"
"40404030";"tuss-22";"Antigenemia para diagnóstico de CMV pós transplante";"-";"2010-10-15";"2010-09-09"
"40404013";"tuss-22";"TMO - prova cruzada para histocompatibilidade de transplante de medula óssea";"-";"2010-10-15";"2009-02-13"
"40403998";"tuss-22";"Tipificação ABO, incluindo tipagem reversa no sangue do receptor (sem tipagem reversa até 4 meses de idade) ";"-";"2010-10-15";"2009-02-13"
